user_id,product_id,avg_rating,num_interactions,total_quantity,last_interaction,view_count,total_view_duration,added_to_cart,added_to_wishlist,interaction_score
U0001,P0013,0.0,0.0,0.0,0,1.0,63.0,0.0,0.0,0.1
U0001,P0014,0.0,0.0,0.0,0,1.0,3.0,1.0,0.0,0.25
U0001,P0015,0.0,0.0,0.0,0,1.0,14.0,0.0,0.0,0.1
U0001,P0017,1.0,1.0,4.0,2024-05-15 12:41:00,1.0,17.0,1.0,0.0,0.8500000000000001
U0001,P0022,0.0,0.0,0.0,0,1.0,39.0,0.0,0.0,0.1
U0001,P0026,0.0,0.0,0.0,0,1.0,49.0,0.0,0.0,0.1
U0001,P0031,0.0,0.0,0.0,0,1.0,11.0,1.0,0.0,0.25
U0001,P0038,0.0,0.0,0.0,0,1.0,36.0,0.0,0.0,0.1
U0001,P0039,4.0,1.0,4.0,2024-12-15 01:53:00,0.0,0.0,0.0,0.0,1.8
U0001,P0051,5.0,1.0,2.0,2024-01-18 14:46:00,0.0,0.0,0.0,0.0,2.2
U0001,P0052,0.0,0.0,0.0,0,1.0,68.0,0.0,0.0,0.1
U0001,P0079,3.0,1.0,4.0,2024-09-07 09:18:00,0.0,0.0,0.0,0.0,1.4000000000000001
U0001,P0082,3.0,1.0,2.0,2024-01-20 18:22:00,0.0,0.0,0.0,0.0,1.4000000000000001
U0001,P0088,0.0,0.0,0.0,0,1.0,9.0,0.0,0.0,0.1
U0001,P0090,0.0,0.0,0.0,0,2.0,41.0,0.0,0.0,0.2
U0001,P0100,4.0,1.0,2.0,2024-10-09 08:07:00,0.0,0.0,0.0,0.0,1.8
U0001,P0101,3.0,1.0,2.0,2024-10-02 01:34:00,0.0,0.0,0.0,0.0,1.4000000000000001
U0001,P0103,0.0,0.0,0.0,0,1.0,3.0,0.0,0.0,0.1
U0001,P0107,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.1
U0001,P0116,0.0,0.0,0.0,0,1.0,39.0,0.0,0.0,0.1
U0001,P0126,0.0,0.0,0.0,0,1.0,97.0,1.0,0.0,0.25
U0001,P0141,0.0,0.0,0.0,0,1.0,3.0,0.0,0.0,0.1
U0001,P0147,0.0,0.0,0.0,0,1.0,42.0,0.0,0.0,0.1
U0001,P0148,4.0,1.0,3.0,2024-08-09 14:24:00,1.0,35.0,1.0,0.0,2.0500000000000003
U0001,P0156,0.0,0.0,0.0,0,1.0,78.0,0.0,0.0,0.1
U0001,P0159,4.0,1.0,2.0,2024-01-01 11:08:00,0.0,0.0,0.0,0.0,1.8
U0001,P0161,0.0,0.0,0.0,0,1.0,123.0,0.0,0.0,0.1
U0001,P0177,0.0,0.0,0.0,0,1.0,4.0,0.0,1.0,0.25
U0001,P0184,0.0,0.0,0.0,0,1.0,18.0,1.0,0.0,0.25
U0001,P0189,0.0,0.0,0.0,0,1.0,21.0,0.0,0.0,0.1
U0001,P0193,3.0,1.0,2.0,2024-07-21 04:06:00,0.0,0.0,0.0,0.0,1.4000000000000001
U0001,P0196,0.0,0.0,0.0,0,1.0,51.0,0.0,0.0,0.1
U0002,P0001,0.0,0.0,0.0,0,1.0,11.0,1.0,0.0,0.25
U0002,P0004,0.0,0.0,0.0,0,2.0,73.0,0.0,0.0,0.2
U0002,P0009,2.0,1.0,3.0,2024-12-12 21:37:00,0.0,0.0,0.0,0.0,1.0
U0002,P0013,0.0,0.0,0.0,0,1.0,2.0,0.0,0.0,0.1
U0002,P0019,0.0,0.0,0.0,0,1.0,17.0,1.0,0.0,0.25
U0002,P0021,0.0,0.0,0.0,0,1.0,73.0,0.0,0.0,0.1
U0002,P0023,0.0,0.0,0.0,0,1.0,40.0,0.0,0.0,0.1
U0002,P0025,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.25
U0002,P0028,0.0,0.0,0.0,0,1.0,39.0,0.0,0.0,0.1
U0002,P0035,5.0,1.0,1.0,2024-12-07 20:42:00,0.0,0.0,0.0,0.0,2.2
U0002,P0044,0.0,0.0,0.0,0,1.0,2.0,0.0,0.0,0.1
U0002,P0052,0.0,0.0,0.0,0,1.0,8.0,0.0,0.0,0.1
U0002,P0057,5.0,1.0,4.0,2024-08-16 03:38:00,0.0,0.0,0.0,0.0,2.2
U0002,P0058,0.0,0.0,0.0,0,2.0,29.0,0.0,0.0,0.2
U0002,P0059,4.0,1.0,2.0,2024-08-09 03:58:00,0.0,0.0,0.0,0.0,1.8
U0002,P0066,4.0,1.0,1.0,2024-01-26 08:07:00,0.0,0.0,0.0,0.0,1.8
U0002,P0068,0.0,0.0,0.0,0,1.0,11.0,0.0,0.0,0.1
U0002,P0082,0.0,0.0,0.0,0,1.0,26.0,0.0,0.0,0.1
U0002,P0092,0.0,0.0,0.0,0,1.0,20.0,0.0,0.0,0.1
U0002,P0100,0.0,0.0,0.0,0,1.0,29.0,0.0,0.0,0.1
U0002,P0109,0.0,0.0,0.0,0,1.0,6.0,0.0,0.0,0.1
U0002,P0111,0.0,0.0,0.0,0,1.0,14.0,0.0,0.0,0.1
U0002,P0112,0.0,0.0,0.0,0,1.0,173.0,0.0,0.0,0.1
U0002,P0113,4.0,1.0,2.0,2024-04-12 05:51:00,0.0,0.0,0.0,0.0,1.8
U0002,P0114,0.0,0.0,0.0,0,1.0,62.0,1.0,0.0,0.25
U0002,P0124,4.0,1.0,2.0,2024-05-12 00:53:00,0.0,0.0,0.0,0.0,1.8
U0002,P0126,0.0,0.0,0.0,0,1.0,28.0,1.0,0.0,0.25
U0002,P0138,0.0,0.0,0.0,0,1.0,27.0,0.0,0.0,0.1
U0002,P0157,0.0,0.0,0.0,0,2.0,28.0,1.0,0.0,0.35
U0002,P0158,4.0,1.0,1.0,2024-02-13 07:30:00,0.0,0.0,0.0,0.0,1.8
U0002,P0159,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,0.25
U0002,P0161,0.0,0.0,0.0,0,1.0,28.0,0.0,0.0,0.1
U0002,P0168,0.0,0.0,0.0,0,1.0,97.0,0.0,0.0,0.1
U0002,P0170,5.0,1.0,2.0,2024-08-23 05:01:00,0.0,0.0,0.0,0.0,2.2
U0002,P0173,0.0,0.0,0.0,0,1.0,62.0,0.0,0.0,0.1
U0002,P0177,0.0,0.0,0.0,0,1.0,22.0,0.0,0.0,0.1
U0002,P0181,0.0,0.0,0.0,0,1.0,5.0,0.0,0.0,0.1
U0002,P0192,0.0,0.0,0.0,0,1.0,20.0,0.0,1.0,0.25
U0002,P0198,5.0,1.0,1.0,2024-10-15 04:11:00,0.0,0.0,0.0,0.0,2.2
U0002,P0200,0.0,0.0,0.0,0,1.0,5.0,1.0,0.0,0.25
U0003,P0001,4.0,1.0,1.0,2024-01-16 14:53:00,0.0,0.0,0.0,0.0,1.8
U0003,P0006,3.0,1.0,3.0,2024-12-10 00:57:00,0.0,0.0,0.0,0.0,1.4000000000000001
U0003,P0008,0.0,0.0,0.0,0,1.0,8.0,0.0,0.0,0.1
U0003,P0010,0.0,0.0,0.0,0,1.0,39.0,0.0,0.0,0.1
U0003,P0018,0.0,0.0,0.0,0,1.0,6.0,0.0,0.0,0.1
U0003,P0020,4.0,1.0,1.0,2024-06-01 13:34:00,0.0,0.0,0.0,0.0,1.8
U0003,P0027,4.0,1.0,3.0,2024-04-04 18:41:00,1.0,8.0,0.0,0.0,1.9000000000000001
U0003,P0036,2.0,1.0,4.0,2024-11-01 19:31:00,0.0,0.0,0.0,0.0,1.0
U0003,P0041,1.0,1.0,4.0,2024-10-13 16:28:00,0.0,0.0,0.0,0.0,0.6000000000000001
U0003,P0051,0.0,0.0,0.0,0,1.0,7.0,0.0,0.0,0.1
U0003,P0060,0.0,0.0,0.0,0,3.0,172.0,1.0,0.0,0.45000000000000007
U0003,P0067,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.1
U0003,P0069,4.0,1.0,2.0,2024-04-05 20:42:00,0.0,0.0,0.0,0.0,1.8
U0003,P0074,0.0,0.0,0.0,0,1.0,52.0,0.0,1.0,0.25
U0003,P0076,0.0,0.0,0.0,0,1.0,8.0,0.0,1.0,0.25
U0003,P0085,0.0,0.0,0.0,0,1.0,10.0,0.0,0.0,0.1
U0003,P0086,4.0,1.0,3.0,2024-10-29 05:17:00,0.0,0.0,0.0,0.0,1.8
U0003,P0094,4.0,1.0,2.0,2024-11-12 10:21:00,0.0,0.0,0.0,0.0,1.8
U0003,P0101,0.0,0.0,0.0,0,1.0,22.0,0.0,0.0,0.1
U0003,P0115,0.0,0.0,0.0,0,1.0,32.0,0.0,0.0,0.1
U0003,P0118,1.0,1.0,4.0,2024-07-11 10:07:00,0.0,0.0,0.0,0.0,0.6000000000000001
U0003,P0120,0.0,0.0,0.0,0,1.0,27.0,0.0,0.0,0.1
U0003,P0127,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.1
U0003,P0139,0.0,0.0,0.0,0,1.0,24.0,0.0,0.0,0.1
U0003,P0143,0.0,0.0,0.0,0,1.0,82.0,0.0,0.0,0.1
U0003,P0148,0.0,0.0,0.0,0,1.0,154.0,0.0,0.0,0.1
U0003,P0153,0.0,0.0,0.0,0,2.0,39.0,0.0,0.0,0.2
U0003,P0167,4.0,1.0,4.0,2024-07-23 02:52:00,0.0,0.0,0.0,0.0,1.8
U0003,P0171,5.0,1.0,3.0,2024-05-14 15:41:00,0.0,0.0,0.0,0.0,2.2
U0003,P0196,0.0,0.0,0.0,0,1.0,6.0,0.0,0.0,0.1
U0003,P0197,5.0,1.0,1.0,2024-01-20 14:59:00,0.0,0.0,0.0,0.0,2.2
U0003,P0199,0.0,0.0,0.0,0,1.0,18.0,0.0,0.0,0.1
U0004,P0002,0.0,0.0,0.0,0,1.0,45.0,0.0,0.0,0.1
U0004,P0004,4.0,1.0,2.0,2024-08-08 07:09:00,0.0,0.0,0.0,0.0,1.8
U0004,P0007,0.0,0.0,0.0,0,1.0,18.0,0.0,0.0,0.1
U0004,P0008,0.0,0.0,0.0,0,1.0,7.0,0.0,1.0,0.25
